interest,rtt(ms)
/skenario2-3-benerin/traffic41?MustBeFresh&Nonce=5f3e14d1,11.404617
/skenario2-3-benerin/traffic18?MustBeFresh&Nonce=8b09f1d7,11.241018
/skenario2-3-benerin/traffic50?MustBeFresh&Nonce=d98b9f0a,10.330267
/skenario2-3-benerin/traffic52?MustBeFresh&Nonce=04ae7d41,10.115728
/skenario2-3-benerin/traffic9?MustBeFresh&Nonce=45ef4f9c,9.263289
/skenario2-3-benerin/traffic71?MustBeFresh&Nonce=27092214,9.031616
/skenario2-3-benerin/traffic43?MustBeFresh&Nonce=23b3b38f,10.052082
/skenario2-3-benerin/traffic17?MustBeFresh&Nonce=db753da8,10.635231
/skenario2-3-benerin/traffic31?MustBeFresh&Nonce=c8bd551b,10.940712
/skenario2-3-benerin/traffic7?MustBeFresh&Nonce=3da94f03,10.833937
/skenario2-3-benerin/traffic48?MustBeFresh&Nonce=61d4fb34,9.833319
/skenario2-3-benerin/traffic97?MustBeFresh&Nonce=8926bb64,9.601896
/skenario2-3-benerin/traffic29?MustBeFresh&Nonce=20551e1a,9.428183
/skenario2-3-benerin/traffic59?MustBeFresh&Nonce=5ff1da09,9.677778
/skenario2-3-benerin/traffic62?MustBeFresh&Nonce=1297e9f1,11.346569
/skenario2-3-benerin/traffic17?MustBeFresh&Nonce=c28aa5de,4.612904
/skenario2-3-benerin/traffic58?MustBeFresh&Nonce=d22bb437,10.577413
/skenario2-3-benerin/traffic88?MustBeFresh&Nonce=9724fd38,9.683043
/skenario2-3-benerin/traffic76?MustBeFresh&Nonce=c62b5125,11.107794
/skenario2-3-benerin/traffic60?MustBeFresh&Nonce=c73f8e0a,10.134047
/skenario2-3-benerin/traffic19?MustBeFresh&Nonce=248ed438,8.912194
/skenario2-3-benerin/traffic19?MustBeFresh&Nonce=60fad31e,4.198579
/skenario2-3-benerin/traffic44?MustBeFresh&Nonce=2f347e67,8.367714
/skenario2-3-benerin/traffic2?MustBeFresh&Nonce=f2095818,7.419322
/skenario2-3-benerin/traffic61?MustBeFresh&Nonce=75c7beb9,7.734671
/skenario2-3-benerin/traffic7?MustBeFresh&Nonce=07ec358f,2.916561
/skenario2-3-benerin/traffic63?MustBeFresh&Nonce=6baa31cb,6.794857
/skenario2-3-benerin/traffic16?MustBeFresh&Nonce=d9275aa1,10.216401
/skenario2-3-benerin/traffic11?MustBeFresh&Nonce=5d01da16,9.383587
/skenario2-3-benerin/traffic11?MustBeFresh&Nonce=cc75b2de,4.385718
/skenario2-3-benerin/traffic33?MustBeFresh&Nonce=cf478421,8.275472
/skenario2-3-benerin/traffic22?MustBeFresh&Nonce=615d0efd,9.590035
/skenario2-3-benerin/traffic13?MustBeFresh&Nonce=015881d7,8.833106
/skenario2-3-benerin/traffic76?MustBeFresh&Nonce=79254873,3.595303
/skenario2-3-benerin/traffic53?MustBeFresh&Nonce=90944b29,11.076390
/skenario2-3-benerin/traffic9?MustBeFresh&Nonce=fdc3f8e2,6.069772
/skenario2-3-benerin/traffic32?MustBeFresh&Nonce=2e0fbd95,12.071153
/skenario2-3-benerin/traffic25?MustBeFresh&Nonce=9303cfb4,12.215255
/skenario2-3-benerin/traffic3?MustBeFresh&Nonce=d1fd0b59,12.017079
/skenario2-3-benerin/traffic27?MustBeFresh&Nonce=b54a5bdd,11.371028
/skenario2-3-benerin/traffic46?MustBeFresh&Nonce=f9e94352,10.799672
/skenario2-3-benerin/traffic96?MustBeFresh&Nonce=87979a7f,9.828339
/skenario2-3-benerin/traffic1?MustBeFresh&Nonce=2b396d63,7.846874
/skenario2-3-benerin/traffic7?MustBeFresh&Nonce=2edb01ca,4.361346
/skenario2-3-benerin/traffic59?MustBeFresh&Nonce=46af98fd,4.286293
/skenario2-3-benerin/traffic2?MustBeFresh&Nonce=64257a4c,4.236433
/skenario2-3-benerin/traffic16?MustBeFresh&Nonce=80e84b91,4.133661
/skenario2-3-benerin/traffic14?MustBeFresh&Nonce=c25c87ca,10.083535
/skenario2-3-benerin/traffic56?MustBeFresh&Nonce=fc1c9348,9.398846
/skenario2-3-benerin/traffic40?MustBeFresh&Nonce=6b96d65a,8.630363
/skenario2-3-benerin/traffic26?MustBeFresh&Nonce=3f5e6e04,8.898176
/skenario2-3-benerin/traffic15?MustBeFresh&Nonce=bead4497,11.980723
/skenario2-3-benerin/traffic34?MustBeFresh&Nonce=ecf8b7f3,11.979169
/skenario2-3-benerin/traffic2?MustBeFresh&Nonce=175af260,6.507732
/skenario2-3-benerin/traffic83?MustBeFresh&Nonce=ceef947a,10.591076
/skenario2-3-benerin/traffic12?MustBeFresh&Nonce=7ee0591e,9.677636
/skenario2-3-benerin/traffic22?MustBeFresh&Nonce=39d8b9d7,4.848385
/skenario2-3-benerin/traffic45?MustBeFresh&Nonce=2daab6bd,9.006121
/skenario2-3-benerin/traffic84?MustBeFresh&Nonce=c0014ca5,8.048664
/skenario2-3-benerin/traffic6?MustBeFresh&Nonce=57b6007a,8.892583
/skenario2-3-benerin/traffic86?MustBeFresh&Nonce=b4beed71,8.631435
/skenario2-3-benerin/traffic10?MustBeFresh&Nonce=9c4be048,12.701445
/skenario2-3-benerin/traffic55?MustBeFresh&Nonce=1e782ba0,8.545559
/skenario2-3-benerin/traffic1?MustBeFresh&Nonce=6e1f9ffe,9.636166
/skenario2-3-benerin/traffic1?MustBeFresh&Nonce=de65c86f,9.686012
/skenario2-3-benerin/traffic71?MustBeFresh&Nonce=73997c3b,12.776769
/skenario2-3-benerin/traffic81?MustBeFresh&Nonce=bc1a5103,15.480158
/skenario2-3-benerin/traffic2?MustBeFresh&Nonce=76898aa6,12.315337
/skenario2-3-benerin/traffic7?MustBeFresh&Nonce=4bdefcf6,9.664391
/skenario2-3-benerin/traffic11?MustBeFresh&Nonce=d6a58d16,9.304743
/skenario2-3-benerin/traffic62?MustBeFresh&Nonce=d6849067,8.856675
/skenario2-3-benerin/traffic62?MustBeFresh&Nonce=8b1656cf,8.650027
/skenario2-3-benerin/traffic80?MustBeFresh&Nonce=e63d508e,14.083366
/skenario2-3-benerin/traffic66?MustBeFresh&Nonce=8e9f7fdc,15.207021
/skenario2-3-benerin/traffic98?MustBeFresh&Nonce=3af40d5e,15.169971
/skenario2-3-benerin/traffic5?MustBeFresh&Nonce=49b19c5e,10.089603
/skenario2-3-benerin/traffic77?MustBeFresh&Nonce=96facef1,8.973144
/skenario2-3-benerin/traffic34?MustBeFresh&Nonce=2af61cc0,6.496775
/skenario2-3-benerin/traffic1?MustBeFresh&Nonce=c085bb8e,4.178204
/skenario2-3-benerin/traffic16?MustBeFresh&Nonce=7ae0717d,3.199151
/skenario2-3-benerin/traffic16?MustBeFresh&Nonce=5256a986,2.528302
/skenario2-3-benerin/traffic17?MustBeFresh&Nonce=a0cef951,5.065846
/skenario2-3-benerin/traffic18?MustBeFresh&Nonce=59a16c64,3.366565
/skenario2-3-benerin/traffic25?MustBeFresh&Nonce=79e6a69f,10.573426
/skenario2-3-benerin/traffic7?MustBeFresh&Nonce=b5e19e22,13.726207
/skenario2-3-benerin/traffic7?MustBeFresh&Nonce=0d6d9b23,11.775957
/skenario2-3-benerin/traffic99?MustBeFresh&Nonce=5c3603ab,21.951441
/skenario2-3-benerin/traffic38?MustBeFresh&Nonce=83953521,20.040709
/skenario2-3-benerin/traffic37?MustBeFresh&Nonce=4efe7776,25.521114
/skenario2-3-benerin/traffic31?MustBeFresh&Nonce=b9dcdda4,30.078665
/skenario2-3-benerin/traffic31?MustBeFresh&Nonce=aa7d3eaf,22.262067
