interest,rtt(ms)
/skenario3--3/traffic15?MustBeFresh&Nonce=65f083d2,9.391823
/skenario3--3/traffic10?MustBeFresh&Nonce=7c191738,12.686069
/skenario3--3/traffic10?MustBeFresh&Nonce=c727ee34,10.828267
/skenario3--3/traffic10?MustBeFresh&Nonce=0c7f4273,7.055872
/skenario3--3/traffic56?MustBeFresh&Nonce=8d02905c,14.177878
/skenario3--3/traffic2?MustBeFresh&Nonce=2b76c52d,14.896998
/skenario3--3/traffic17?MustBeFresh&Nonce=fb4b8aac,13.893940
/skenario3--3/traffic19?MustBeFresh&Nonce=a8bb4bbf,14.191017
/skenario3--3/traffic7?MustBeFresh&Nonce=5221ca0c,12.276210
/skenario3--3/traffic34?MustBeFresh&Nonce=b78a787e,10.702486
/skenario3--3/traffic35?MustBeFresh&Nonce=e464daf6,9.953550
/skenario3--3/traffic36?MustBeFresh&Nonce=2a5c56b6,9.219504
/skenario3--3/traffic1?MustBeFresh&Nonce=0b90012c,10.383957
/skenario3--3/traffic71?MustBeFresh&Nonce=338b7cbf,9.919310
/skenario3--3/traffic15?MustBeFresh&Nonce=73694d15,4.717150
/skenario3--3/traffic47?MustBeFresh&Nonce=35001290,10.635024
/skenario3--3/traffic30?MustBeFresh&Nonce=74a71372,8.951953
/skenario3--3/traffic2?MustBeFresh&Nonce=58eff03a,4.036086
/skenario3--3/traffic76?MustBeFresh&Nonce=ad88f9b6,13.233543
/skenario3--3/traffic76?MustBeFresh&Nonce=aafad4a5,5.591090
/skenario3--3/traffic36?MustBeFresh&Nonce=c4d4a1d5,3.085842
/skenario3--3/traffic25?MustBeFresh&Nonce=06fcd52b,10.323186
/skenario3--3/traffic45?MustBeFresh&Nonce=0e8f0470,9.707355
/skenario3--3/traffic11?MustBeFresh&Nonce=3b9fba3e,9.903143
/skenario3--3/traffic5?MustBeFresh&Nonce=50bf3044,10.562719
/skenario3--3/traffic5?MustBeFresh&Nonce=cd1bc7a5,7.084231
/skenario3--3/traffic16?MustBeFresh&Nonce=16f16d64,11.135543
/skenario3--3/traffic47?MustBeFresh&Nonce=6deed839,3.116134
/skenario3--3/traffic68?MustBeFresh&Nonce=e9518e83,9.076758
/skenario3--3/traffic53?MustBeFresh&Nonce=7ce2c5c1,8.211113
/skenario3--3/traffic9?MustBeFresh&Nonce=47ff0dce,8.394188
/skenario3--3/traffic38?MustBeFresh&Nonce=7472d14f,7.508650
/skenario3--3/traffic10?MustBeFresh&Nonce=0cf82c26,2.951967
/skenario3--3/traffic63?MustBeFresh&Nonce=47e26315,7.578484
/skenario3--3/traffic100?MustBeFresh&Nonce=7f92c47f,8.874821
/skenario3--3/traffic14?MustBeFresh&Nonce=668e0954,7.616236
/skenario3--3/traffic11?MustBeFresh&Nonce=fe6d3126,3.312447
/skenario3--3/traffic81?MustBeFresh&Nonce=dde85af1,8.507546
/skenario3--3/traffic5?MustBeFresh&Nonce=a0fed2c9,3.269752
/skenario3--3/traffic58?MustBeFresh&Nonce=0edf575b,8.487667
/skenario3--3/traffic6?MustBeFresh&Nonce=1f2f3eb4,7.573372
/skenario3--3/traffic15?MustBeFresh&Nonce=c97edb5e,3.542062
/skenario3--3/traffic6?MustBeFresh&Nonce=5f52f32f,2.592323
/skenario3--3/traffic8?MustBeFresh&Nonce=c449f6df,11.204242
/skenario3--3/traffic32?MustBeFresh&Nonce=b539d404,10.814652
/skenario3--3/traffic57?MustBeFresh&Nonce=dfde323f,9.101198
/skenario3--3/traffic69?MustBeFresh&Nonce=8e283385,8.309089
/skenario3--3/traffic37?MustBeFresh&Nonce=495db2f3,8.038905
/skenario3--3/traffic37?MustBeFresh&Nonce=70cb3a6a,7.681469
/skenario3--3/traffic19?MustBeFresh&Nonce=b6dd3ff4,3.392261
/skenario3--3/traffic14?MustBeFresh&Nonce=0a3a2a99,3.363251
/skenario3--3/traffic11?MustBeFresh&Nonce=82c6f547,2.901842
/skenario3--3/traffic2?MustBeFresh&Nonce=bff030f2,2.976930
/skenario3--3/traffic81?MustBeFresh&Nonce=cc5e1d0c,4.695347
/skenario3--3/traffic76?MustBeFresh&Nonce=ae2bf743,4.537607
/skenario3--3/traffic30?MustBeFresh&Nonce=8712462e,4.123037
/skenario3--3/traffic12?MustBeFresh&Nonce=90a67f46,10.598287
/skenario3--3/traffic25?MustBeFresh&Nonce=71b683b1,4.938859
/skenario3--3/traffic83?MustBeFresh&Nonce=1b506517,9.655877
/skenario3--3/traffic6?MustBeFresh&Nonce=c89d6fbc,4.025756
/skenario3--3/traffic85?MustBeFresh&Nonce=e57ac3ff,9.643341
/skenario3--3/traffic46?MustBeFresh&Nonce=c0426bb5,8.996291
/skenario3--3/traffic93?MustBeFresh&Nonce=0bdcb379,7.700405
/skenario3--3/traffic6?MustBeFresh&Nonce=512f4720,3.038542
/skenario3--3/traffic11?MustBeFresh&Nonce=e146fe9e,3.108612
/skenario3--3/traffic8?MustBeFresh&Nonce=3b34f2fc,3.542130
/skenario3--3/traffic98?MustBeFresh&Nonce=c50adcfd,10.322389
/skenario3--3/traffic15?MustBeFresh&Nonce=0f3ba61a,4.663192
/skenario3--3/traffic48?MustBeFresh&Nonce=a718feca,10.237404
/skenario3--3/traffic2?MustBeFresh&Nonce=fe74772b,4.957438
/skenario3--3/traffic20?MustBeFresh&Nonce=b90f4a22,9.509453
/skenario3--3/traffic24?MustBeFresh&Nonce=ddc80099,9.414808
/skenario3--3/traffic87?MustBeFresh&Nonce=04efe80f,11.064682
/skenario3--3/traffic6?MustBeFresh&Nonce=d336ebcb,5.792420
