PatternID,InterestSent,ResponsesReceived,Nacks,InterestLoss(%),Inconsistency(%),TotalRTT(ms),AverageRTT(ms)
Overall,10000,10000,0,0.000000,0.000000,142002.921550,14.200292,
1,537,537,0,0.000000,0.000000,5329.185325,9.923995
2,453,453,0,0.000000,0.000000,4497.468716,9.928187
3,372,372,0,0.000000,0.000000,3714.156336,9.984291
4,337,337,0,0.000000,0.000000,3708.875146,11.005564
5,314,314,0,0.000000,0.000000,3521.823780,11.215999
6,281,281,0,0.000000,0.000000,3387.216171,12.054150
7,218,218,0,0.000000,0.000000,2714.611717,12.452347
8,223,223,0,0.000000,0.000000,2381.718930,10.680354
9,237,237,0,0.000000,0.000000,2848.449195,12.018773
10,225,225,0,0.000000,0.000000,2697.634344,11.989486
11,179,179,0,0.000000,0.000000,2406.504630,13.444160
12,192,192,0,0.000000,0.000000,2424.227090,12.626183
13,173,173,0,0.000000,0.000000,2194.170664,12.683067
14,166,166,0,0.000000,0.000000,2388.749125,14.390055
15,173,173,0,0.000000,0.000000,2254.105895,13.029514
16,148,148,0,0.000000,0.000000,1895.561611,12.807849
17,143,143,0,0.000000,0.000000,2356.687094,16.480329
18,126,126,0,0.000000,0.000000,1705.894429,13.538845
19,143,143,0,0.000000,0.000000,2165.761949,15.145188
20,144,144,0,0.000000,0.000000,2104.179039,14.612354
21,136,136,0,0.000000,0.000000,3196.950543,23.506989
22,120,120,0,0.000000,0.000000,1620.688377,13.505736
23,91,91,0,0.000000,0.000000,1215.586209,13.358090
24,120,120,0,0.000000,0.000000,1330.011944,11.083433
25,110,110,0,0.000000,0.000000,1326.072363,12.055203
26,98,98,0,0.000000,0.000000,1375.891977,14.039714
27,111,111,0,0.000000,0.000000,1204.084174,10.847605
28,87,87,0,0.000000,0.000000,1025.177914,11.783654
29,105,105,0,0.000000,0.000000,1354.127086,12.896448
30,111,111,0,0.000000,0.000000,1577.284934,14.209774
31,77,77,0,0.000000,0.000000,1029.905215,13.375392
32,112,112,0,0.000000,0.000000,1604.877758,14.329266
33,70,70,0,0.000000,0.000000,1063.830345,15.197576
34,95,95,0,0.000000,0.000000,1617.940626,17.030954
35,80,80,0,0.000000,0.000000,1164.754594,14.559432
36,93,93,0,0.000000,0.000000,1228.707254,13.211906
37,79,79,0,0.000000,0.000000,946.899124,11.986065
38,80,80,0,0.000000,0.000000,1282.232045,16.027901
39,82,82,0,0.000000,0.000000,1125.783354,13.729065
40,80,80,0,0.000000,0.000000,998.811034,12.485138
41,74,74,0,0.000000,0.000000,1030.965486,13.931966
42,76,76,0,0.000000,0.000000,1261.663992,16.600842
43,86,86,0,0.000000,0.000000,1528.627891,17.774743
44,82,82,0,0.000000,0.000000,1169.451665,14.261606
