PatternID,InterestSent,ResponsesReceived,Nacks,InterestLoss(%),Inconsistency(%),TotalRTT(ms),AverageRTT(ms)
Overall,10000,10000,0,0.000000,0.000000,41497.974188,4.149797,
1,541,541,0,0.000000,0.000000,1746.362456,3.228027
2,461,461,0,0.000000,0.000000,1470.523528,3.189856
3,358,358,0,0.000000,0.000000,1172.761775,3.275871
4,303,303,0,0.000000,0.000000,999.603675,3.299022
5,309,309,0,0.000000,0.000000,1024.334976,3.315000
6,293,293,0,0.000000,0.000000,967.863677,3.303289
7,249,249,0,0.000000,0.000000,868.213108,3.486800
8,239,239,0,0.000000,0.000000,834.334145,3.490938
9,222,222,0,0.000000,0.000000,771.747802,3.476341
10,194,194,0,0.000000,0.000000,693.769329,3.576131
11,190,190,0,0.000000,0.000000,680.117718,3.579567
12,184,184,0,0.000000,0.000000,674.502717,3.665776
13,164,164,0,0.000000,0.000000,598.986752,3.652358
14,173,173,0,0.000000,0.000000,641.173113,3.706203
15,171,171,0,0.000000,0.000000,612.625725,3.582607
16,145,145,0,0.000000,0.000000,560.332317,3.864361
17,147,147,0,0.000000,0.000000,576.899632,3.924487
18,135,135,0,0.000000,0.000000,536.926788,3.977235
19,123,123,0,0.000000,0.000000,514.831986,4.185626
20,137,137,0,0.000000,0.000000,544.093129,3.971483
21,126,126,0,0.000000,0.000000,489.050996,3.881357
22,104,104,0,0.000000,0.000000,454.136553,4.366698
23,122,122,0,0.000000,0.000000,487.554085,3.996345
24,128,128,0,0.000000,0.000000,510.812543,3.990723
25,120,120,0,0.000000,0.000000,487.460084,4.062167
26,132,132,0,0.000000,0.000000,510.755200,3.869358
27,98,98,0,0.000000,0.000000,434.856997,4.437316
28,111,111,0,0.000000,0.000000,466.303708,4.200934
29,98,98,0,0.000000,0.000000,421.207996,4.298041
30,105,105,0,0.000000,0.000000,448.982127,4.276020
31,89,89,0,0.000000,0.000000,383.692643,4.311153
32,95,95,0,0.000000,0.000000,410.892087,4.325180
33,95,95,0,0.000000,0.000000,417.416968,4.393863
34,96,96,0,0.000000,0.000000,426.714419,4.444942
35,94,94,0,0.000000,0.000000,403.923759,4.297061
36,85,85,0,0.000000,0.000000,373.970112,4.399648
37,98,98,0,0.000000,0.000000,419.873935,4.284428
38,74,74,0,0.000000,0.000000,338.028116,4.567948
39,83,83,0,0.000000,0.000000,364.642139,4.393279
40,76,76,0,0.000000,0.000000,346.977435,4.565493
41,63,63,0,0.000000,0.000000,303.690639,4.820486
42,83,83,0,0.000000,0.000000,395.935476,4.770307
43,77,77,0,0.000000,0.000000,357.249870,4.639609
44,64,64,0,0.000000,0.000000,304.968307,4.765130
45,66,66,0,0.000000,0.000000,303.352082,4.596244
46,75,75,0,0.000000,0.000000,348.387170,4.645162
47,62,62,0,0.000000,0.000000,303.672913,4.897950
48,64,64,0,0.000000,0.000000,318.883690,4.982558
49,53,53,0,0.000000,0.000000,280.465357,5.291799
50,70,70,0,0.000000,0.000000,339.505875,4.850084
51,61,61,0,0.000000,0.000000,305.311016,5.005099
52,54,54,0,0.000000,0.000000,273.419780,5.063329
53,70,70,0,0.000000,0.000000,326.688832,4.666983
54,58,58,0,0.000000,0.000000,288.006023,4.965621
55,67,67,0,0.000000,0.000000,316.238479,4.719977
56,65,65,0,0.000000,0.000000,310.608772,4.778596
57,81,81,0,0.000000,0.000000,365.016402,4.506375
58,53,53,0,0.000000,0.000000,259.920887,4.904168
59,68,68,0,0.000000,0.000000,332.460826,4.889130
60,68,68,0,0.000000,0.000000,324.345520,4.769787
61,63,63,0,0.000000,0.000000,330.361028,5.243826
62,63,63,0,0.000000,0.000000,310.130258,4.922703
63,53,53,0,0.000000,0.000000,285.975933,5.395772
64,70,70,0,0.000000,0.000000,333.259954,4.760856
65,52,52,0,0.000000,0.000000,271.083921,5.213152
66,45,45,0,0.000000,0.000000,236.526780,5.256151
67,50,50,0,0.000000,0.000000,258.076419,5.161528
68,46,46,0,0.000000,0.000000,246.969145,5.368894
69,44,44,0,0.000000,0.000000,247.299340,5.620440
70,58,58,0,0.000000,0.000000,290.247100,5.004260
71,59,59,0,0.000000,0.000000,282.777776,4.792844
72,48,48,0,0.000000,0.000000,249.491324,5.197736
73,49,49,0,0.000000,0.000000,249.831605,5.098604
74,58,58,0,0.000000,0.000000,288.346241,4.971487
75,54,54,0,0.000000,0.000000,269.394436,4.988786
76,51,51,0,0.000000,0.000000,260.314687,5.104210
77,53,53,0,0.000000,0.000000,269.314584,5.081407
78,42,42,0,0.000000,0.000000,237.833305,5.662698
79,49,49,0,0.000000,0.000000,248.919993,5.080000
80,49,49,0,0.000000,0.000000,238.876143,4.875023
81,41,41,0,0.000000,0.000000,225.856142,5.508686
82,51,51,0,0.000000,0.000000,259.692436,5.092009
83,42,42,0,0.000000,0.000000,228.174179,5.432719
84,41,41,0,0.000000,0.000000,226.867391,5.533351
85,61,61,0,0.000000,0.000000,306.990524,5.032632
86,51,51,0,0.000000,0.000000,260.856964,5.114842
87,49,49,0,0.000000,0.000000,271.538694,5.541606
88,39,39,0,0.000000,0.000000,213.561494,5.475936
89,35,35,0,0.000000,0.000000,196.103170,5.602948
90,38,38,0,0.000000,0.000000,205.939718,5.419466
91,35,35,0,0.000000,0.000000,198.511006,5.671743
92,47,47,0,0.000000,0.000000,237.450624,5.052141
93,36,36,0,0.000000,0.000000,205.231661,5.700879
94,45,45,0,0.000000,0.000000,251.488982,5.588644
95,30,30,0,0.000000,0.000000,178.173936,5.939131
96,35,35,0,0.000000,0.000000,201.709260,5.763122
97,50,50,0,0.000000,0.000000,257.238857,5.144777
98,39,39,0,0.000000,0.000000,225.363736,5.778557
99,46,46,0,0.000000,0.000000,262.939679,5.716080
100,44,44,0,0.000000,0.000000,233.871597,5.315264
